Producto,Categoría,Energía (kcal),Grasas (g),Proteínas (g),Hidratos de Carbono (g)
Chocolat noir 65% de cacao,chocolates,559,41.0,6.8,35.0
70% Cacao noir intense,chocolates,566,41.0,9.5,34.0
Noir Excellence 90%,chocolates,592,55.0,10.0,14.0
Excellence 85% Cacao Chocolat Noir Puissant,chocolates,584,46.0,12.5,22.0
Edelbitter mild 85%,chocolates,579,46.8,10.8,21.4
Extra dark chocolate 74% cacao,chocolates,570,42.0,10.0,32.0
Milka Lait Alpin,chocolates,539,31.0,6.5,57.0
Excellence 70% Cocoa Intense Dark,chocolates,566,41.0,9.5,34.0
Nestlé Dessert,chocolates,548,34.1,6.0,50.7
85% Cocoa Robust Dark Chocolate Bar,chocolates,584,46.0,12.5,22.0
Doux 70% noir subtil,chocolates,610,48.0,6.9,33.0
Ecuador Edelbitter 70%,chocolates,565,41.5,8.4,33.8
Bio Chocolat Noir Cacao 70%,chocolates,572,41.6,8.5,35.3
Noir - Noisettes Entières,chocolates,569,39.0,7.3,43.0
Excellence 99% Cacao Noir Absolute,chocolates,590,51.0,15.0,8.0
Noir Extra,chocolates,508,28.0,4.9,55.0
"Chocolat noir extra-fin, traditionnel.",chocolates,576,46.0,10.0,24.0
Chocolat noir 47% et pointe de fleur de sel,chocolates,537,32.0,5.7,52.0
Bio Chocolat Noir Equateur 85% cacao,chocolates,639,55.3,9.0,20.6
Čokoláda,chocolates,544,35.0,4.8,48.0
Cruesli Mélange De Noix,cereals,462,19.0,8.5,57.0
Céréales Chocapic,cereals,388,4.8,8.8,73.6
Oat Drink Barista Edition,cereals,61,3.0,1.1,7.1
Haferflocken Extra zart,cereals,372,7.0,13.5,58.7
Flocons d'avoine céréale complète,cereals,362,7.1,11.0,58.0
Ohne Zucker Hafer,cereals,40,1.5,0.2,5.8
Muesli Superfruits,cereals,357,6.0,11.0,60.0
Weetabix,cereals,362,2.0,12.0,69.0
Pain de mie grandes tranches Seigle & Graines 500g,cereals,297,9.6,12.0,37.0
Weetabix produit à base de blé complet 100%,cereals,362,2.0,12.0,69.0
Flocons d'avoine complète,cereals,375,8.0,11.0,60.0
"Muesli Raisin, Figue, Abricot",cereals,352,5.8,11.0,59.0
NESTLE CHOCAPIC Céréales 750g,cereals,388,4.8,8.8,73.6
Copos de avena,cereals,375,7.0,14.0,59.0
,cereals,355,0.5,0.5,86.0
Croustillant Chocolat,cereals,437,15.0,9.7,61.0
Weetabix,cereals,362,2.0,12.0,69.0
Corn Flakes,cereals,378,0.9,7.0,84.0
Special Muesli 30% fruits & noix,cereals,362,7.2,10.2,59.6
Spaghetti n°5,cereals,359,2.0,13.0,71.0
Ziegenfrischkäse Natur,cheeses,177,13.0,11.0,4.0
Carré frais 0%,cheeses,78,0.2,17.5,1.5
Caprice des dieux,cheeses,333,30.0,15.0,0.8
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,cheeses,252,24.0,5.9,3.0
Salakis 100% Brebis,cheeses,272,22.8,15.7,0.8
Carré frais,cheeses,193,15.0,12.0,2.5
St Môret,cheeses,205,17.8,8.3,3.0
La bûche Sainte-Maure (Poitou-Charentes,cheeses,291,23.0,20.0,1.0
PRESIDENT CAMEMBERT 250g,cheeses,269,21.0,20.0,0.0
Coulommiers Doux et Crémeux,cheeses,283,23.0,18.0,1.0
President emmental coeur de meule 250g,cheeses,369,29.0,27.0,0.5
Le Goût Primeur format familial,cheeses,205,17.8,8.3,3.0
Caprice des dieux,cheeses,333,30.0,15.3,0.8
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,cheeses,252,24.0,5.9,3.0
Kiri-Käse,cheeses,305,29.0,9.0,2.0
SKYR,cheeses,57,0.2,10.0,3.9
La vache qui rit,cheeses,228,17.5,11.5,6.0
Kiri® Crème 12 portions,cheeses,305,29.0,9.0,2.0
Leerdammer original 8 tranches 200g,cheeses,352,27.5,26.0,0.1
L'original tartare ail & fines herbes,cheeses,348,34.5,7.0,2.3
