Producto,Categoría,Ingredientes,Energía (kcal),Grasas (g),Proteínas (g),Hidratos de Carbono (g),Azúcares (g),Segmento
Chocolat noir 65% de cacao,chocolates,,559,41.0,6.8,35.0,32.0,Alta Energía
70% Cacao noir intense,chocolates,"cocoa paste, sugar, cocoa butter, vanilla,",566,41.0,9.5,34.0,30.0,Alta Energía
Noir Excellence 90%,chocolates,"cocoa mass, cocoa butter, low-fat cocoa, sugar, vanilla,",592,55.0,10.0,14.0,7.0,Alta Energía
Excellence 85% Cacao Chocolat Noir Puissant,chocolates,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille. Peut contenir du lait, des fruits à coque, du soja et des graines de sésame.",584,46.0,12.5,22.0,15.0,Alta Energía
Edelbitter mild 85%,chocolates,"Kakaomasse, fettarmes Kakaopulver, Kakaobutter, Zucker, Emulgator: Lecithine (Soja); Vanilleextrakt",579,46.8,10.8,21.4,12.9,Alta Energía
Extra dark chocolate 74% cacao,chocolates,"cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum,",570,42.0,10.0,32.0,26.0,Alta Energía
Milka Lait Alpin,chocolates,"Sucre, beurre de cacao, pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), pâte de NOISETTE, arôme.",539,31.0,6.5,57.0,55.0,Alta Energía
Excellence 70% Cocoa Intense Dark,chocolates,"Cocoa mass, sugar, cocoa butter, vanilla.",566,41.0,9.5,34.0,30.0,Alta Energía
Nestlé Dessert,chocolates,"sugar, cocoa paste, cocoa butter, emulsifier sunflower lecithin, natural vanilla aroma madagascar, cocoa: 52% minimum, may contain: nuts, milk,",548,34.1,6.0,50.7,46.4,Alta Energía
85% Cocoa Robust Dark Chocolate Bar,chocolates,"cocoa mass, fat-reduced cocoa, cocoa butter, demerara sugar, vanilla",584,46.0,12.5,22.0,15.0,Alta Energía
